f,i,l,e,_,n,a,m,e
m,i,n
m,a,x
m,e,a,n
2019-11-15_15-26-11-6490.bmp,12,45,24.973159600278244
2019-11-14_15-38-41-4780.bmp,14,54,29.08876673283453
2019-11-14_10-34-31-7960.bmp,21,85,46.50302845218099
2019-11-15_10-37-34-0630.bmp,12,65,27.560645391153866
2019-11-15_10-29-05-5080.bmp,18,83,43.747527188205154
2019-11-15_09-52-49-9810.bmp,12,46,24.48014115810726
2019-11-15_10-53-25-9200.bmp,18,103,53.39032252591575
2019-11-15_10-40-05-0970.bmp,15,92,42.65027739604011
2019-11-14_15-43-04-6750.bmp,12,51,28.088868529546495
2019-11-14_15-38-22-6860.bmp,15,82,29.90958755365535
2019-11-14_15-51-38-7180.bmp,18,93,44.599667464074244
2019-11-15_09-52-33-0720.bmp,13,49,27.058940296228432
2019-11-14_15-41-10-4300.bmp,16,77,40.528698189715136
2019-11-15_10-53-21-2230.bmp,20,106,52.279160516448655
2019-11-15_10-29-38-5110.bmp,14,92,39.847016508033455
2019-11-15_10-31-53-4460.bmp,17,96,43.84881491661152
2019-11-15_10-47-21-1430.bmp,13,66,26.904412887463735
2019-11-14_15-40-56-6310.bmp,18,88,45.14129383620909
2019-11-14_10-37-21-4790.bmp,16,59,31.51807739943333
2019-11-15_10-19-41-0820.bmp,12,42,22.89708352420217
2019-11-15_15-18-51-4460.bmp,18,82,43.471335742522186
2019-11-14_15-51-06-3440.bmp,20,87,46.72709998133727
2019-11-15_09-46-01-4350.bmp,10,65,23.259819141175072
2019-11-14_10-21-56-0540.bmp,22,84,46.8217878895845
2019-11-14_15-40-51-9880.bmp,19,89,46.4180790960452
2019-11-14_15-38-39-1240.bmp,14,58,30.347500042415298
2019-11-15_10-40-23-8870.bmp,15,95,40.38574167387727
2019-11-15_14-57-29-7430.bmp,16,77,32.39790638095723
2019-11-14_15-38-46-1800.bmp,15,54,28.118881593457864
2019-11-14_15-41-05-8200.bmp,16,78,41.85020613834173
2019-11-14_15-43-16-1760.bmp,11,133,26.190953665529936
2019-11-15_10-37-57-5440.bmp,14,64,33.671230552586486
2019-11-14_15-51-10-9500.bmp,21,102,49.84564225242191
2019-11-15_09-46-03-9350.bmp,10,72,22.772314687568926
2019-11-15_10-05-31-1650.bmp,17,77,43.21228007668686
2019-11-15_10-40-21-5370.bmp,15,89,39.82226294090701
2019-11-15_15-18-28-0870.bmp,20,89,46.52608540744134
2019-11-14_15-40-45-0870.bmp,20,96,47.74413396447295
2019-11-14_10-25-16-9420.bmp,26,118,56.70175260005769
2019-11-14_15-38-50-8730.bmp,13,54,27.539912794150084
2019-11-14_10-05-19-4330.bmp,21,104,52.17176498532431
2019-11-15_10-20-19-0690.bmp,11,88,25.304507897728236
2019-11-14_15-51-15-5970.bmp,20,90,47.05944927978826
2019-11-15_10-53-06-4290.bmp,20,80,45.10004920174412
2019-11-14_10-22-05-4730.bmp,21,79,44.00098403488234
2019-11-15_09-52-35-8870.bmp,12,68,26.831865764069153
2019-11-15_14-57-36-8210.bmp,15,51,30.132030335420165
2019-11-15_15-03-55-2890.bmp,19,104,51.98184625303269
2019-11-15_09-46-20-3910.bmp,9,38,19.523048472201015
2019-11-15_10-37-28-7380.bmp,13,71,26.43816698053986
2019-11-15_14-58-08-1200.bmp,12,46,26.322661644695543
2019-11-14_10-05-38-2440.bmp,21,98,50.47427088105054
2019-11-15_10-53-18-3250.bmp,20,111,52.415076093042195
2019-11-14_10-21-48-9980.bmp,24,95,49.74024872329957
2019-11-14_10-24-52-7640.bmp,27,90,52.976128671043924
2019-11-15_14-50-50-6030.bmp,14,85,39.703211686262534
2019-11-15_15-21-04-6820.bmp,14,48,27.37547717208734
2019-11-15_10-37-55-1960.bmp,14,67,35.07241139444529
2019-11-15_15-03-43-5180.bmp,20,92,46.09251624505862
2019-11-15_10-53-37-6770.bmp,19,113,51.45818700055988
2019-11-15_15-04-11-7270.bmp,20,104,52.84481091260752
2019-11-14_15-40-47-3760.bmp,19,89,46.945759318640675
2019-11-15_15-18-39-8140.bmp,18,88,46.23961249384978
2019-11-15_10-40-16-8390.bmp,15,74,38.50231587519723
2019-11-15_15-26-27-9360.bmp,11,48,24.084474304813288
2019-11-15_10-17-45-6680.bmp,16,86,43.31891213247145
2019-11-14_10-05-42-9500.bmp,19,103,50.11343546936767
2019-11-15_15-26-16-3000.bmp,12,45,25.801513377784563
2019-11-15_10-53-11-1200.bmp,20,86,46.995962063758675
2019-11-14_10-05-08-5490.bmp,19,67,41.22673520978606
2019-11-14_15-40-58-9200.bmp,17,90,44.407967289323224
2019-11-15_10-53-13-4670.bmp,20,103,49.98398398398398
2019-11-14_15-43-09-2810.bmp,13,50,27.514293954971922
2019-11-15_10-53-28-2680.bmp,20,107,53.8537011587859
2019-11-15_10-32-26-3730.bmp,18,114,51.3471946522794
2019-11-14_10-34-17-6820.bmp,22,91,45.08535654298366
2019-11-15_14-58-01-0720.bmp,13,52,28.88188188188188
2019-11-15_14-50-48-2440.bmp,16,81,39.598700395310566
2019-11-15_10-53-15-8150.bmp,20,104,51.373678763509275
2019-11-15_14-50-14-6080.bmp,20,134,47.42788551263128
2019-11-14_10-34-41-2770.bmp,20,81,43.82238170373763
2019-11-15_15-18-46-7900.bmp,18,91,44.428733818564325
2019-11-15_09-46-15-6960.bmp,8,37,20.464668057888396
2019-11-15_10-29-14-9470.bmp,16,90,44.62275835157191
2019-11-15_10-29-36-1610.bmp,15,83,39.68307290341188
2019-11-14_15-42-46-0250.bmp,13,75,27.35823959552773
2019-11-14_15-40-49-6650.bmp,19,89,46.485180095349584
2019-11-15_09-45-51-6770.bmp,11,56,19.993671637739435
2019-11-15_10-29-40-8600.bmp,14,83,39.439320676608816
2019-11-15_15-03-59-9790.bmp,20,110,53.435571164384726
2019-11-14_10-34-34-1480.bmp,21,86,45.90103662985019
2019-11-15_10-47-54-7450.bmp,11,49,24.947065709777576
2019-11-14_10-34-46-4910.bmp,19,77,42.05692132810777
2019-11-14_10-05-21-7850.bmp,20,110,53.096367553994675
2019-11-15_10-17-07-0360.bmp,15,58,32.69824061349485
2019-11-15_15-04-18-8090.bmp,18,93,47.51213925790197
2019-11-14_10-34-24-7380.bmp,22,90,47.69522064437319
