file_name,min,max,mean
2489.bmp,17,255,51.24868901954553
2312.bmp,6,255,49.93913872556809
595.bmp,8,255,42.46464325440966
1325.bmp,16,255,80.85952645796917
2108.bmp,11,255,58.146670904179246
1697.bmp,7,255,32.3155887494041
925.bmp,13,255,57.610201811536626
92.bmp,25,255,80.35102494835532
1554.bmp,10,255,47.33243286191006
1507.bmp,8,255,29.9523279834737
2003.bmp,8,255,35.51962498013666
1898.bmp,0,255,33.77228666772604
1007.bmp,15,255,70.09661528682663
2145.bmp,15,255,41.62434450977276
1723.bmp,27,255,91.44033052598125
515.bmp,7,255,45.12553631018592
2109.bmp,11,255,33.38550770697601
710.bmp,5,255,33.60177975528365
2824.bmp,1,255,18.448275862068964
133.bmp,40,255,103.90036548546003
2379.bmp,13,255,43.146194184013986
232.bmp,4,255,29.828062927061815
2985.bmp,18,255,75.44970602256475
1861.bmp,32,255,118.98283807405053
2082.bmp,18,255,108.74559033847132
880.bmp,4,255,33.36230732559987
2107.bmp,18,255,40.068488797076114
2186.bmp,5,255,29.020657873828064
1060.bmp,19,255,58.090100111234705
2919.bmp,26,255,83.67344668679485
1252.bmp,12,255,50.98776418242492
2543.bmp,30,255,78.10694422374067
2785.bmp,38,255,136.6618464961068
1776.bmp,18,255,54.03813761322104
2473.bmp,0,255,16.027808676307007
1920.bmp,4,255,52.79802955665025
2266.bmp,12,255,41.21500079453361
952.bmp,6,255,42.298267916732875
546.bmp,13,255,39.39154616240267
2413.bmp,14,255,53.963928174161765
39.bmp,33,255,118.51279199110122
2628.bmp,53,255,132.74829175274115
1399.bmp,5,255,23.783410138248847
914.bmp,5,255,41.84856189416812
195.bmp,15,255,105.88097886540601
2204.bmp,35,255,137.03750198633404
455.bmp,15,255,48.07865882726839
751.bmp,12,255,37.41315747656126
667.bmp,6,255,25.41681233116161
1805.bmp,8,255,54.916097250913715
392.bmp,13,255,40.42316860003178
1162.bmp,6,255,30.136341967265217
938.bmp,2,255,41.69299221357063
2376.bmp,35,255,101.04115684093438
483.bmp,27,255,108.39234069601144
2326.bmp,37,255,120.83155887494041
1195.bmp,5,255,74.7651358652471
601.bmp,15,255,100.94040997934212
2545.bmp,9,255,37.958048625456854
400.bmp,8,255,28.63737486095662
1626.bmp,9,255,34.837120610201815
525.bmp,9,255,32.15255045288416
235.bmp,9,255,47.84776736055935
2249.bmp,6,255,27.535356745590338
931.bmp,4,255,42.032734784681395
293.bmp,4,255,20.203559510567295
450.bmp,31,255,75.75099316701096
1301.bmp,33,255,134.57746702685523
949.bmp,54,255,140.07961226759892
2211.bmp,4,255,89.25488638169395
671.bmp,28,255,68.6426187827745
1222.bmp,7,255,23.439853805815986
2464.bmp,7,255,31.3357699030669
1836.bmp,34,255,104.68695375814397
834.bmp,17,255,118.32067376450024
892.bmp,10,255,103.89273796281583
2133.bmp,12,255,42.94692515493406
2027.bmp,19,255,52.55919275385349
2741.bmp,6,255,34.81423804226919
401.bmp,28,255,78.71174320673765
1849.bmp,12,255,47.83886858414111
1858.bmp,27,255,72.49133958366438
2336.bmp,12,255,80.00762752264421
654.bmp,6,255,31.62466232321627
1954.bmp,19,255,47.737009375496584
2529.bmp,5,255,40.57476561258541
2492.bmp,6,255,38.31638328301287
2449.bmp,25,255,72.83584935642777
2078.bmp,16,255,48.172254886381694
578.bmp,19,255,83.19497854759257
795.bmp,8,255,48.616240266963295
1042.bmp,14,255,84.0862863499126
205.bmp,17,255,64.29906245034165
2791.bmp,8,255,29.11218814555856
2101.bmp,37,255,148.22151597012552
480.bmp,36,255,124.08279040203401
1401.bmp,16,255,50.68186874304783
1168.bmp,15,255,52.18321945018274
845.bmp,23,255,97.00286032099157
1811.bmp,4,255,23.309868107420943
463.bmp,3,255,27.964087080883523
1377.bmp,12,255,46.796917209597964
838.bmp,22,255,52.420943905927224
2864.bmp,14,255,51.90100111234705
905.bmp,42,255,141.5838232957254
1699.bmp,12,255,38.33704115684093
930.bmp,6,255,22.49690131892579
1133.bmp,13,255,66.02478944859368
2739.bmp,10,255,39.39138725568092
1888.bmp,9,255,42.04878436357858
2710.bmp,16,255,68.06515175591927
378.bmp,13,255,85.91689178452249
1073.bmp,5,255,35.03813761322104
770.bmp,1,255,32.71380899412045
1742.bmp,2,255,58.35007150802479
410.bmp,15,255,72.56189416812332
2176.bmp,9,255,56.376608930557765
188.bmp,0,255,28.6642300969331
608.bmp,9,255,53.33990147783251
543.bmp,18,255,95.73017638646115
2058.bmp,8,255,32.831241061496904
629.bmp,4,255,27.23597648180518
1471.bmp,5,255,41.50484665501351
943.bmp,8,255,47.604163356109964
490.bmp,8,255,27.6036866359447
2217.bmp,6,255,21.595105672969968
1428.bmp,3,255,29.837279516923566
438.bmp,11,255,57.47958048625457
1058.bmp,18,255,57.0953440330526
1381.bmp,8,255,40.376291117114256
937.bmp,18,255,52.54218973462577
1268.bmp,7,255,56.78849515334499
132.bmp,7,255,34.42300969331003
2617.bmp,8,255,59.46782138884475
2010.bmp,17,255,80.17209597965994
2553.bmp,7,255,31.483870967741936
360.bmp,3,255,27.32401080565708
825.bmp,0,255,38.78261560464008
1159.bmp,13,255,58.60940727792786
2503.bmp,13,255,39.9502621960909
381.bmp,15,255,60.81678054981726
2817.bmp,0,255,12.036389639281742
1862.bmp,18,255,44.15112029238837
2603.bmp,1,255,26.042110281264897
64.bmp,13,255,101.63387891307802
2431.bmp,16,255,60.78913078023201
2137.bmp,25,255,76.41840139837915
850.bmp,4,255,21.949149849038616
2531.bmp,8,255,65.6124265056412
251.bmp,10,255,77.92817416176705
153.bmp,13,255,52.276497695852534
210.bmp,10,255,51.38312410614969
2959.bmp,12,255,112.4147465437788
927.bmp,14,255,45.00286032099158
1324.bmp,7,255,37.31193389480375
2498.bmp,31,255,101.69394565390115
8.bmp,11,255,46.7926267281106
207.bmp,24,255,90.15827109486732
637.bmp,12,255,53.27061814714762
1929.bmp,14,255,43.54918163038297
221.bmp,13,255,38.75099316701097
2890.bmp,5,255,27.904655966947402
371.bmp,46,255,124.90020657873828
2655.bmp,10,255,38.91164786270459
2435.bmp,13,255,36.69331002701414
2675.bmp,36,255,132.16049578897187
2350.bmp,0,255,22.48546003495948
2878.bmp,1,255,20.589543937708566
2612.bmp,10,255,51.25583982202447
1286.bmp,38,255,132.13650087398696
274.bmp,11,255,59.71221992690291
1603.bmp,18,255,59.53869378674718
1559.bmp,16,255,44.59240425870014
1491.bmp,6,255,36.11743206737645
791.bmp,7,255,43.774352455108854
651.bmp,14,255,58.005402828539644
223.bmp,7,255,36.58573017638646
1654.bmp,7,255,26.789289686953758
2881.bmp,4,255,51.610042904814875
534.bmp,14,255,44.54473224217384
1501.bmp,44,255,130.74972191323693
2075.bmp,7,255,40.569362784045765
1567.bmp,8,255,50.004608294930875
593.bmp,15,255,49.02844430319403
1543.bmp,1,255,16.5633243286191
1952.bmp,12,255,42.323851898935324
178.bmp,15,255,57.58080406801208
1291.bmp,38,255,120.21404735420309
327.bmp,11,255,67.55363101859209
1484.bmp,1,255,19.939615445733356
2327.bmp,4,255,25.447481328460192
531.bmp,10,255,70.91387255680915
1211.bmp,10,255,36.60813602415382
625.bmp,2,255,19.36945812807882
1968.bmp,17,255,45.5741299856984
125.bmp,13,255,75.14047354203083
503.bmp,11,255,49.77943747020499
764.bmp,11,255,46.764818051803594
1287.bmp,12,255,45.03225806451613
1157.bmp,18,255,66.53805815986016
140.bmp,2,255,22.57508342602892
1496.bmp,20,255,74.18639758461784
2799.bmp,4,255,36.52884156999841
918.bmp,9,255,47.08771651040839
719.bmp,25,255,78.46670904179247
794.bmp,3,255,19.407119021134594
1718.bmp,19,255,122.71619259494676
732.bmp,6,255,28.682504369934847
1441.bmp,14,255,35.14587637057048
2631.bmp,11,255,34.54298426823455
30.bmp,0,255,23.888765294771968
801.bmp,7,255,36.985062768155096
1212.bmp,0,255,11.822342285078658
682.bmp,61,255,144.04052121404735
2198.bmp,16,255,104.77737168282218
356.bmp,7,255,34.52375655490227
539.bmp,7,255,28.098681074209438
2602.bmp,5,255,25.853805815986018
2547.bmp,15,255,56.39011600190688
2926.bmp,13,255,50.11902113459399
947.bmp,19,255,50.78801843317972
2511.bmp,21,255,65.789130780232
408.bmp,6,255,31.57842046718576
1946.bmp,32,255,126.11393611949785
118.bmp,7,255,33.76593039885587
260.bmp,21,255,125.56793262354998
1296.bmp,2,255,35.05800095344033
2918.bmp,15,255,123.07373271889401
884.bmp,1,255,23.77943747020499
2544.bmp,10,255,50.1816303829652
1643.bmp,11,255,57.98569839504211
433.bmp,16,255,60.03718417289051
859.bmp,2,255,32.54298426823455
1795.bmp,35,255,88.60114412839663
2657.bmp,6,255,41.91387255680915
2440.bmp,16,255,116.76799618623868
1765.bmp,14,255,40.42920705545845
172.bmp,9,255,32.01970443349754
191.bmp,14,255,78.66311774988083
1527.bmp,24,255,93.97060225647544
833.bmp,52,255,134.38884474813284
2507.bmp,13,255,43.26728110599078
921.bmp,6,255,26.731924360400445
722.bmp,27,255,119.8882885746067
968.bmp,0,255,18.418560305100907
597.bmp,18,255,100.7262037184173
685.bmp,18,255,63.442714126807566
767.bmp,8,255,33.24487525822342
2081.bmp,5,255,31.173049419990466
2711.bmp,30,255,109.70649928491976
2306.bmp,6,255,33.2073732718894
1044.bmp,30,255,95.65088193230574
2232.bmp,5,255,30.56109963451454
741.bmp,52,255,141.55347211187032
2183.bmp,8,255,44.6346734466868
21.bmp,17,255,57.906562847608456
1407.bmp,43,255,130.65278881296678
2697.bmp,6,255,24.7303352931829
2342.bmp,29,255,89.50977276338789
